Irradiance,Temperature,V_PV,I_PV
100,2,25.135528711022,0.50271057422044
200,2,41.5350473147131,0.830700946294262
300,2,43.7615566189515,0.87523113237903
400,2,44.7245322179592,0.894490644359185
500,2,NaN,NaN
600,2,45.7907823674703,0.915815647349405
700,2,NaN,NaN
800,2,NaN,NaN
900,2,NaN,NaN
1000,2,NaN,NaN
100,4,25.1564130325901,0.503128260651803
200,4,41.2486299414839,0.824972598829677
300,4,43.443625193404,0.868872503868079
400,4,44.4049098789427,0.888098197578854
500,4,NaN,NaN
600,4,NaN,NaN
700,4,NaN,NaN
800,4,46.1269315747647,0.922538631495295
900,4,NaN,NaN
1000,4,NaN,NaN
100,6,25.1772488892415,0.50354497778483
200,6,40.9605095447832,0.819210190895665
300,6,43.1254745229745,0.862509490459489
400,6,44.0851167867632,0.881702335735264
500,6,44.7019109595844,0.894038219191688
600,6,NaN,NaN
700,6,NaN,NaN
800,6,NaN,NaN
900,6,NaN,NaN
1000,6,NaN,NaN
100,8,25.198021790497,0.503960435809941
200,8,40.6707905784907,0.813415811569813
300,8,42.8071073230348,0.856142146460696
400,8,43.7651541653598,0.875303083307197
500,8,NaN,NaN
600,8,44.8383969812376,0.896767939624752
700,8,NaN,NaN
800,8,NaN,NaN
900,8,NaN,NaN
1000,8,NaN,NaN
100,10,25.2187132323376,0.504374264646753
200,10,40.3795683078625,0.80759136615725
300,10,42.496505125585,0.8499301025117
400,10,43.445023221225,0.868900464424499
500,10,44.0636986252177,0.881273972504353
600,10,44.520573046745,0.8904114609349
700,10,NaN,NaN
800,10,NaN,NaN
900,10,NaN,NaN
1000,10,NaN,NaN
100,12,25.2392996789223,0.504785993578445
200,12,40.0869298004558,0.801738596009117
300,12,42.1697338052226,0.843394676104451
400,12,43.1247251437752,0.862494502875503
500,12,43.744335330354,0.87488670660708
600,12,NaN,NaN
700,12,NaN,NaN
800,12,NaN,NaN
900,12,NaN,NaN
1000,12,45.3475826201943,0.906951652403887
100,14,25.2597513131178,0.505195026262356
200,14,39.792954793703,0.79585909587406
300,14,41.8507325376006,0.837014650752012
400,14,42.8042611057115,0.856085222114231
500,14,43.4248022885394,0.868496045770788
600,14,NaN,NaN
700,14,NaN,NaN
800,14,NaN,NaN
900,14,NaN,NaN
1000,14,NaN,NaN
100,16,25.2800305117826,0.505600610235651
200,16,39.4977164561519,0.789954329123038
300,16,41.5315248474358,0.830630496948716
400,16,42.4836322633701,0.849672645267402
500,16,43.1051007304472,0.862102014608944
600,16,NaN,NaN
700,16,NaN,NaN
800,16,NaN,NaN
900,16,NaN,NaN
1000,16,NaN,NaN
100,18,25.300089996429,0.506001799928579
200,18,39.2012820568772,0.784025641137544
300,18,NaN,NaN
400,18,42.1628397570626,0.843256795141251
500,18,42.785231868869,0.85570463737738
600,18,NaN,NaN
700,18,NaN,NaN
800,18,NaN,NaN
900,18,NaN,NaN
1000,18,NaN,NaN
100,20,25.3198706053639,0.506397412107278
200,20,38.9037135554373,0.778074271108746
300,20,40.8924995535673,0.817849991071347
400,20,41.8418847114075,0.836837694228151
500,20,NaN,NaN
600,20,NaN,NaN
700,20,NaN,NaN
800,20,43.6038327827067,0.872076655654134
900,20,NaN,NaN
1000,20,NaN,NaN
100,22,25.339298630611,0.50678597261222
200,22,38.6050681229475,0.77210136245895
300,22,40.5726864717216,0.811453729434433
400,22,41.520768235653,0.830415364713059
500,22,NaN,NaN
600,22,NaN,NaN
700,22,NaN,NaN
800,22,43.28760252605,0.865752050520999
900,22,NaN,NaN
1000,22,NaN,NaN
100,24,25.3582826632565,0.507165653265131
200,24,38.3053986033103,0.766107972066207
300,24,39.9068422073603,0.798136844147206
400,24,41.1994914239896,0.823989828479792
500,24,41.8246333309775,0.836492666619549
600,24,NaN,NaN
700,24,NaN,NaN
800,24,NaN,NaN
900,24,NaN,NaN
1000,24,NaN,NaN
100,26,25.3767098963339,0.507534197926678
200,26,38.0047539223505,0.76009507844701
300,26,39.9324703040088,0.798649406080176
400,26,40.8780553558566,0.817561107117132
500,26,NaN,NaN
600,26,NaN,NaN
700,26,NaN,NaN
800,26,NaN,NaN
900,26,NaN,NaN
1000,26,NaN,NaN
100,28,25.3944418477284,0.507888836954567
200,28,37.7031794515005,0.75406358903001
300,28,39.6120713988498,0.792241427976996
400,28,40.5564610962385,0.811129221924769
500,28,NaN,NaN
600,28,NaN,NaN
700,28,NaN,NaN
800,28,NaN,NaN
900,28,42.6042556797466,0.852085113594931
1000,28,NaN,NaN
100,30,25.4113094904561,0.508226189809121
200,30,37.4007173317555,0.748014346635111
300,30,39.2914813130798,0.785829626261595
400,30,40.2347096959547,0.804694193919094
500,30,NaN,NaN
600,30,NaN,NaN
700,30,-249806518.28431,-4996130.36568619
800,30,42.0208702808761,0.840417405617522
900,30,NaN,NaN
1000,30,NaN,NaN
100,32,25.4271078185345,0.508542156370691
200,32,37.0974067628194,0.741948135256389
300,32,38.269717885162,0.76539435770324
400,32,39.9128021919418,0.798256043838836
500,32,NaN,NaN
600,32,NaN,NaN
700,32,NaN,NaN
800,32,41.7037411961633,0.834074823923268
900,32,NaN,NaN
1000,32,NaN,NaN
100,34,25.4415899386186,0.508831798772373
200,34,36.7932842616945,0.735865685233889
300,34,38.6497354047306,0.772994708094611
400,34,NaN,NaN
500,34,NaN,NaN
600,34,NaN,NaN
700,34,NaN,NaN
800,34,NaN,NaN
900,34,NaN,NaN
1000,34,NaN,NaN
100,36,25.454460865687,0.50908921731374
200,36,36.4883838943898,0.729767677887796
300,36,NaN,NaN
400,36,NaN,NaN
500,36,NaN,NaN
600,36,NaN,NaN
700,36,40.7526025049253,0.815052050098506
800,36,NaN,NaN
900,36,41.3401113391467,0.826802226782934
1000,36,NaN,NaN
100,38,25.4653713190226,0.509307426380452
200,38,36.1827374839356,0.723654749678713
300,38,38.0086732626226,0.760173465252452
400,38,38.9461532243779,0.778923064487559
500,38,NaN,NaN
600,38,NaN,NaN
700,38,NaN,NaN
800,38,NaN,NaN
900,38,NaN,NaN
1000,38,NaN,NaN
100,40,25.4739119625775,0.50947823925155
200,40,35.8763747974694,0.717527495949389
300,40,37.6857302629197,0.753714605258394
400,40,NaN,NaN
500,40,NaN,NaN
600,40,NaN,NaN
700,40,NaN,NaN
800,40,NaN,NaN
900,40,NaN,NaN
1000,40,NaN,NaN
100,42,25.4796087046498,0.509592174092997
200,42,35.5693237148021,0.711386474296042
300,42,37.364032722048,0.747280654440959
400,42,37.6937916892701,0.753875833785402
500,42,NaN,NaN
600,42,NaN,NaN
700,42,NaN,NaN
800,42,NaN,NaN
900,42,NaN,NaN
1000,42,NaN,NaN
100,44,25.481919847686,0.50963839695372
200,44,35.2616103805637,0.705232207611274
300,44,37.0421568077417,0.740843136154833
400,44,36.512267569251,0.730245351385019
500,44,NaN,NaN
600,44,NaN,NaN
700,44,NaN,NaN
800,44,NaN,NaN
900,44,NaN,NaN
1000,44,NaN,NaN
100,46,25.4802360271166,0.509604720542332
200,46,34.9532593417621,0.699065186835243
300,46,36.3090451060079,0.726180902120158
400,46,NaN,NaN
500,46,38.2901406754939,0.765802813509877
600,46,NaN,NaN
700,46,NaN,NaN
800,46,NaN,NaN
900,46,NaN,NaN
