Irradiance,Temperature,V_PV,I_PV,Status
200,15,15.2813009522321,1.01875339681548,OK
200,25,15.3448860877861,1.02299240585241,OK
200,35,15.4084391970115,1.02722927980076,OK
200,45,15.4718818438735,1.03145878959157,OK
200,55,15.5349719423256,1.03566479615504,OK
400,15,30.1764902245052,2.01176601496701,OK
400,25,30.2593409575726,2.0172893971715,OK
400,35,30.265590046054,2.01770600307027,OK
400,45,30.1128948620778,2.00752632413852,OK
400,55,29.7200679085208,1.98133786056805,OK
600,15,40.0058286695538,2.66705524463692,OK
600,25,39.3067131992212,2.62044754661475,OK
600,35,30.4757741769567,2.03171827846378,OK
600,45,31.1390143287402,2.07593428858268,OK
600,55,28.0786661916743,1.87191107944496,OK
800,15,-206.463849849387,-13.7642566566258,Invalid
800,25,-137.75620736927,-9.18374715795137,Invalid
800,35,39.021669668077,2.60144464453847,OK
800,45,37.5346077429179,2.50230718286119,OK
800,55,36.0402209353614,2.40268139569076,OK
1000,15,42.37267106397,2.824844737598,OK
1000,25,41.4608701070119,2.76405800713413,OK
1000,35,39.9904766383412,2.66603177588942,OK
1000,45,38.4428461904844,2.56285641269896,OK
1000,55,36.9272947976187,2.46181965317458,OK
