Irradiance,Temperature,V_PV,I_PV,Status
200,15,1.03099076842565e-06,1.03099076844227,OK
200,25,1.0352814481659e-06,1.03528144818259,OK
200,35,1.0395721277712e-06,1.03957212778795,OK
200,45,1.04386280680485e-06,1.04386280682167,OK
200,55,1.04815348362669e-06,1.04815348364358,OK
400,15,2.06134746395281e-06,2.06134746398603,OK
400,25,2.06992618460027e-06,2.06992618463363,OK
400,35,2.07850490494681e-06,2.0785049049803,OK
400,45,2.08708362402291e-06,2.08708362405654,OK
400,55,2.09566233819868e-06,2.09566233823245,OK
600,15,3.09107067134594e-06,3.09107067139575,OK
600,25,3.10393479649914e-06,3.10393479654916,OK
600,35,3.11679892114737e-06,3.11679892119759,OK
600,45,3.12966304367103e-06,3.12966304372146,OK
600,55,3.14252715802669e-06,3.14252715807733,OK
800,15,4.12016097465053e-06,4.12016097471692,OK
800,25,4.13730787033615e-06,4.13730787040282,OK
800,35,4.15445476526588e-06,4.15445476533283,OK
800,45,4.1716016570272e-06,4.17160165709442,OK
800,55,4.18874853664938e-06,4.18874853671688,OK
1000,15,5.14861895719421e-06,5.14861895727718,OK
1000,25,5.17004599186344e-06,5.17004599194675,OK
1000,35,5.19147302546833e-06,5.19147302555198,OK
1000,45,5.21290005462922e-06,5.21290005471323,OK
1000,55,5.23432706682551e-06,5.23432706690986,OK
